fico,aprv_flag,amtfinanced_1req,collateral_dlrinput_newused_1req,pti_1req,ltv_1req,p12_reh7120_a,p12_bcx7110_a,p12_all7170_a,p12_aut7110_a,p12_all7120_a,p12_all7937_a,p12_bcc8120_a,p12_iln7410_a,p12_rev1300_a,p12_all8150_a,p12_bca8370_a,p12_all7517_a,p12_iln8220_a,p12_all6250_a,p12_aua8151_a,p12_rtr7110_a,p12_pil8120_a,p12_aua0300_a,p12_all7938_a,p12_bcc3456_a,p12_all8370_a,p12_aua8220_a,p12_als1300_a,p12_aua6200_a,p12_all2427_a,p12_alm6200_a,p12_all6971_a,clntr9437_a,clact9429_a,clall5010_a,clall2434_a,cloil0214_a,cltra4405_a,clact9428_a,bad_flag,Gender,Race
779,1,31149,NEW,8.22,79.15,4,1,0,60,65,100,20,50,10,14,44,13,36,30,,0,,4,91,4,32,36,14,1,0,30,1,,,,,,,,0,Male,White
633,0,9030,USED,8.38,121.99,83,27,0,,84,100,2,33,10,27,28,67,77,400,25,83,3,4,52,0,29,77,13,400,0,400,1,1,1,,,,,0,0,Male,Hispanic
645,1,45995,USED,11.33,93.88,10,3,8,87,87,83,4,25,4,,5,80,86,1,,,,4,86,0,10,86,8,1,0,400,400,,,,,,,,0,Male,White
588,0,9046,USED,4.42,118.33,74,54,0,,122,50,37,0,2,9,58,0,55,1,,0,,1,38,0,58,55,3,1,0,400,400,0,0,,,,,0,0,Male,Hispanic
802,0,31910,USED,12.02,116.04,38,32,0,39,98,100,48,8,6,,105,17,229,1,,14,,9,100,1,68,160,17,1,0,1,1,,,,,,,,0,Male,White
672,1,11824,USED,11.36,124.46,45,4,0,,45,60,8,0,5,,16,100,110,1,,45,95,0,38,0,17,,7,,0,400,1,,,,,,,,0,Female,White
632,1,23227,NEW,11.01,107.99,64,23,27,,98,75,25,50,8,,46,50,215,1,,30,215,1,75,0,34,125,8,400,0,400,1,0,0,1105,,,,0,0,Male,Black
800,1,33927,NEW,11.72,88.63,52,52,0,52,97,100,161,33,5,,161,0,125,1,,0,,3,100,0,73,125,9,1,0,1,1,,,,,,,,0,Male,White
764,1,32599,NEW,4.87,75.87,72,66,0,,99,100,145,25,4,,168,17,129,1,,0,,4,100,1,105,129,9,1,0,1,1,,,,,,,,0,Undefined,White
629,0,49986,USED,19.27,121.4,119,89,0,80,119,95,20,18,14,,28,33,68,1,,55,22,4,95,0,20,58,25,1,0,400,1,2,2,0,,,,1,0,Female,White
693,1,54323,NEW,17.26,110.5,44,,0,,94,100,,25,2,,,50,113,1,,44,8,4,100,,20,113,11,1,0,1,1,,,,,,,,0,Female,White
724,0,51766,USED,15.56,135.78,26,17,0,91,100,100,6,100,3,,8,100,9,1,,5,,1,100,0,6,9,5,1,0,1,1,2,3,,,,,0,0,Male,White
674,1,22467,USED,8.92,100.42,46,45,0,82,82,100,30,25,7,13,47,0,117,30,13,42,115,3,75,0,48,117,9,400,0,400,1,2,2,,,,,1,0,Female,Hispanic
613,1,20888,USED,7.67,123.42,102,102,0,76,102,100,16,50,2,,16,33,69,1,,90,19,1,100,0,37,32,4,1,0,1,1,2,2,0,,,,0,0,Female,White
669,1,31744,USED,17.09,105.99,99,99,0,88,99,100,26,100,3,,26,75,22,1,,12,,1,100,0,14,11,4,1,0,1,1,,,,,,,,0,Male,Black
554,0,28083,USED,7.72,127.9,98,89,0,26,98,63,42,33,4,1,38,20,97,60,1,47,38,2,63,0,30,82,7,60,0,400,400,,,,,,,,1,Male,Other
569,0,40316,USED,9.46,108.85,100,46,0,,100,69,1,17,7,5,80,56,92,400,,,3,1,63,0,49,92,11,400,0,400,120,3,5,0,,,0,4,1,Female,White
776,1,69595,USED,16.17,112.8,24,24,0,,24,100,56,,11,,92,0,,1,,,,0,100,2,78,,13,,0,1,1,,,,,,,,0,Female,White
659,1,45648,USED,12.17,73.18,97,88,0,81,97,89,35,25,13,3,63,22,128,1,68,,24,7,91,1,41,128,25,30,0,30,30,,,,,,,,0,Male,White
749,1,37839,USED,10.97,100.34,4,,0,72,91,100,23,30,5,48,58,18,164,1,48,0,9,10,100,0,36,112,24,30,0,30,1,,,,,,,,0,Male,Hispanic
815,1,24020,NEW,9.81,58.89,0,0,0,,179,100,4,100,3,,70,7,133,1,,,,1,100,1,98,35,4,1,0,1,1,,,,,,,,0,Female,Other
724,1,27009,USED,7.94,111.76,99,68,0,,99,100,98,0,4,,207,0,173,1,,0,173,0,100,2,125,,9,,0,1,1,,,,,,,,0,Female,White
642,1,37346,NEW,14.33,104.71,99,77,0,32,115,86,17,25,5,8,22,14,107,400,28,7,,5,56,0,25,107,8,400,0,400,30,,,,,,,,0,Female,Black
712,1,14423,USED,9.75,75.61,81,81,0,,81,100,56,,5,,36,33,,1,,3,,0,100,1,25,,5,,0,1,1,,,,,,,,0,Male,White
739,1,16814,USED,6.28,126.02,47,47,0,,47,100,4,0,7,,125,17,125,1,,5,121,2,100,0,105,125,9,1,0,400,1,,,,,,,,0,Female,Hispanic
750,1,42500,NEW,7.66,109.08,20,12,0,59,74,100,13,67,3,51,24,20,128,1,51,,128,3,100,0,31,70,5,30,0,30,1,,,,,,,,0,Female,White
711,1,14664,USED,4.82,60.64,22,22,0,,144,100,26,71,5,23,47,0,168,1,,0,168,1,93,0,65,31,9,1,0,30,1,,,,,,,,0,Female,White
598,1,21580,USED,7.92,89.92,0,,100,,0,33,33,0,3,,87,0,191,1,,,29,1,50,1,65,191,6,1,0,400,400,0,0,291,,,,0,0,Male,White
765,1,37945,NEW,9.68,86.83,68,68,0,14,98,100,40,33,27,30,33,36,119,30,,0,,9,100,1,35,119,39,1,0,30,1,,,,,,,,0,Male,White
791,1,45000,NEW,8.08,77.2,30,12,0,,99,100,31,50,6,,64,25,52,1,,,10,1,100,5,45,52,11,1,0,1,1,,,,,,,,0,Undefined,Black
800,1,19232,USED,6.7,65.2,28,28,0,52,52,100,15,100,2,,15,33,33,1,,0,,1,100,0,19,33,3,1,0,1,1,,,,,,,,0,Male,Hispanic
606,1,12653,USED,10.56,84.35,100,100,0,43,100,75,46,100,3,5,46,25,33,1,5,21,,1,75,0,30,33,3,30,0,30,30,0,0,,,,,0,0,Female,White
793,1,46887,USED,8.17,98.3,29,15,0,54,98,100,28,40,16,80,90,30,156,1,,15,21,2,100,3,56,130,23,1,0,30,1,,,,,,,,0,Male,White
830,1,26975,NEW,11.65,97.13,13,3,0,90,94,100,43,50,2,,178,50,108,1,,,,4,100,2,73,108,6,1,0,1,1,,,,,,,,0,Female,Other
637,1,29006,USED,2.79,110.75,97,59,0,47,97,93,15,21,15,9,35,0,228,1,9,,14,9,94,4,48,170,30,30,0,30,30,,,,,,,,0,Male,White
766,1,11629,USED,5.7,83.66,15,,0,,15,100,,,1,,22,0,,1,,,,0,100,,22,,1,,0,1,1,,,,,,,,0,Female,White
665,1,21919,NEW,7.12,83.25,73,66,0,,106,83,29,50,3,6,29,0,104,30,31,73,,1,83,0,37,104,3,60,1,60,30,0,0,,,,,0,0,Female,Other
787,1,52458,USED,14.9,106.78,3,3,0,83,98,100,18,100,1,,18,50,70,1,,,10,1,100,0,28,12,3,1,0,1,1,,,,,,,,0,Male,White
713,1,15337,USED,9.2,123.41,18,18,0,,109,100,1,100,1,,1,33,68,1,,,19,0,100,0,29,,2,,0,1,1,19,19,,,,,6,0,Female,White
623,0,55632,NEW,3.83,76.73,95,72,0,91,95,75,19,24,11,7,29,11,160,30,7,0,104,15,71,3,25,160,25,90,0,90,90,1,1,,,,,0,0,Male,Asian
624,0,17599,USED,7.53,105.67,44,5,14,32,44,57,0,50,3,21,80,50,98,1,20,,77,2,43,1,61,98,3,400,0,400,1,,,,,,,,0,Male,White
643,0,17834,USED,8.19,94.78,95,95,0,,95,67,4,,2,11,30,100,57,1,,,,0,67,0,43,,2,,0,120,30,,,,,,,,0,Male,Hispanic
678,1,18770,USED,7.36,89.62,102,49,0,65,133,100,9,30,8,,35,25,75,1,,35,51,2,97,1,38,59,11,1,0,400,1,0,0,,,,,0,0,Undefined,Hispanic
810,1,51477,NEW,10.88,80.07,1,0,0,79,97,100,45,50,2,,50,0,58,1,,,58,1,100,1,29,18,5,1,0,1,1,,,,,,,,0,Undefined,Black
710,1,20791,USED,10.11,102.22,94,91,0,12,97,100,44,100,2,,62,0,117,1,,,,1,100,1,63,54,4,1,0,1,1,,,,,,,,0,Male,White
677,1,17825,USED,5.59,106.08,84,29,0,,84,100,54,38,6,22,64,33,98,90,32,66,44,5,85,0,61,98,15,30,0,400,1,,,,,,,,0,Male,Black
646,0,41649,USED,5.14,99.17,35,6,0,,35,75,82,0,2,,82,50,72,1,,35,,1,75,0,48,72,3,1,0,400,400,,,,,,,,0,Male,White
